Nama Tempat,Latitude,Longitude,Kategori
Klinik Poltekkes Kemenkes Aceh,5.5218,95.3441,Kesehatan
Direktorat Poltekkes Kemenkes Aceh,5.5222,95.3444,Pendidikan
SD Negeri Manyang,5.5201,95.3452,Pendidikan
Praktek Dokter Spesialis Anak Gampong Manyang,5.5195,95.3435,Kesehatan
MIN 24 Aceh Besar,5.5210,95.3455,Pendidikan
Apotek K-24 Lambaro (Batas Manyang),5.5181,95.3458,Kesehatan
TK Pembina Ingin Jaya,5.5189,95.3462,Pendidikan
